Params: a-n= 1100 , fact-n= 9
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.033 secs (0.033u,0.s) (success)
Params: a-n= 1200 , fact-n= 9
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.037 secs (0.037u,0.s) (success)
Params: a-n= 1300 , fact-n= 9
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.04 secs (0.04u,0.s) (success)
Params: a-n= 1400 , fact-n= 9
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.043 secs (0.043u,0.s) (success)
Params: a-n= 1500 , fact-n= 9
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.046 secs (0.046u,0.s) (success)
Params: a-n= 1600 , fact-n= 9
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.05 secs (0.05u,0.s) (success)
Params: a-n= 1700 , fact-n= 9
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.052 secs (0.052u,0.s) (success)
Params: a-n= 1800 , fact-n= 9
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.057 secs (0.057u,0.s) (success)
