param-a-extra-binders param-ctx-size param-nevars beta-F-ev-real beta-F-ev-sys beta-F-ev-user beta-F-tt-real beta-F-tt-sys beta-F-tt-user beta-FX-ev-real beta-FX-ev-sys beta-FX-ev-user beta-FX-tt-real beta-FX-tt-sys beta-FX-tt-user deta-id-FX-ev-real deta-id-FX-ev-sys deta-id-FX-ev-user deta-id-FX-tt-real deta-id-FX-tt-sys deta-id-FX-tt-user make-evars-real make-evars-sys make-evars-user make-fun-ev-real make-fun-ev-sys make-fun-ev-user make-fun-tt-real make-fun-tt-sys make-fun-tt-user make-tts-real make-tts-sys make-tts-user open-constr-F-ev-real open-constr-F-ev-sys open-constr-F-ev-user open-constr-F-tt-real open-constr-F-tt-sys open-constr-F-tt-user open-constr-FX-ev-real open-constr-FX-ev-sys open-constr-FX-ev-user open-constr-FX-tt-real open-constr-FX-tt-sys open-constr-FX-tt-user prebeta-FX-ev-real prebeta-FX-ev-sys prebeta-FX-ev-user prebeta-FX-tt-real prebeta-FX-tt-sys prebeta-FX-tt-user
1 100 1000 0. 0. 0. 0. 0. 0. 0.01 0. 0.01 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.029 0. 0.029 0. 0. 0. 0. 0. 0. 0.042 0. 0.042 0. 0. 0. 0. 0. 0. 0.057 0. 0.057 0.009 0.003 0.006 0.006 0. 0.006 0. 0. 0.
2 100 1000 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.029 0. 0.029 0. 0. 0. 0. 0. 0. 0.042 0. 0.042 0. 0. 0. 0. 0. 0. 0.055 0. 0.055 0.009 0. 0.009 0.006 0. 0.006 0. 0. 0.
3 100 1000 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.029 0. 0.029 0. 0. 0. 0. 0. 0. 0.043 0. 0.043 0. 0. 0. 0. 0. 0. 0.056 0. 0.056 0.009 0. 0.009 0.005 0. 0.005 0. 0. 0.
100 100 1000 0. 0. 0. 0. 0. 0. 0.009 0.003 0.005 0. 0. 0. 0.009 0. 0.009 0. 0. 0. 0.031 0. 0.031 0.012 0. 0.012 0.025 0. 0.025 0.042 0. 0.042 0. 0. 0. 0. 0. 0. 0.057 0. 0.057 0.01 0. 0.01 0.009 0.003 0.005 0. 0. 0.
200 100 1000 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.029 0. 0.029 0.037 0. 0.037 0.06 0. 0.06 0.042 0. 0.042 0. 0. 0. 0. 0. 0. 0.086 0. 0.086 0.01 0. 0.01 0.004 0. 0.004 0. 0. 0.
300 100 1000 0. 0. 0. 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.034 0. 0.034 0. 0. 0. 0.03 0. 0.03 0.127 0. 0.127 0.166 0. 0.166 0.042 0. 0.042 0. 0. 0. 0. 0. 0. 0.056 0. 0.056 0.011 0. 0.011 0.005 0. 0.005 0. 0. 0.
400 100 1000 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.032 0. 0.032 0. 0. 0. 0.03 0. 0.03 0.235 0. 0.235 0.288 0.003 0.284 0.042 0. 0.042 0.001 0. 0.001 0.001 0. 0.001 0.057 0. 0.057 0.012 0. 0.012 0.005 0. 0.005 0. 0. 0.
500 100 1000 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.031 0. 0.03 0. 0. 0. 0.029 0. 0.029 0.346 0. 0.346 0.421 0.007 0.413 0.042 0. 0.042 0.002 0. 0.002 0.002 0. 0.002 0.059 0. 0.059 0.013 0. 0.013 0.005 0. 0.005 0. 0. 0.
600 100 1000 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.03 0. 0.03 0. 0. 0. 0.03 0. 0.03 0.46 0. 0.46 0.562 0.007 0.554 0.042 0. 0.042 0.004 0. 0.004 0.003 0. 0.003 0.062 0. 0.062 0.014 0. 0.014 0.005 0. 0.005 0. 0. 0.
700 100 1000 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.029 0. 0.029 0.606 0. 0.606 0.723 0.003 0.719 0.042 0. 0.042 0.006 0. 0.006 0.005 0. 0.005 0.064 0. 0.064 0.017 0. 0.017 0.035 0. 0.035 0. 0. 0.
