param-a-n param-fact-n beta-iota-fast-real beta-iota-fast-sys beta-iota-fast-user beta-iota-slow-real beta-iota-slow-sys beta-iota-slow-user unify-beta-iota-fast-real unify-beta-iota-fast-sys unify-beta-iota-fast-user unify-beta-iota-slow-real unify-beta-iota-slow-sys unify-beta-iota-slow-user
0 9 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
1 9 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 9 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
100 9 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
200 9 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
300 9 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
400 9 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
500 9 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
600 9 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
700 9 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
800 9 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
900 9 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
1000 9 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1100 9 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1200 9 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1300 9 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1400 9 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1500 9 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1600 9 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1700 9 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1800 9 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1900 9 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
2000 9 0.001 0. 0.001 0.001 0. 0.001 0.002 0. 0.002 0.002 0. 0.002
2100 9 0.001 0. 0.001 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2200 9 0.001 0. 0.001 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2300 9 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2400 9 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2500 9 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2600 9 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2700 9 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.003 0. 0.003
2800 9 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.003 0. 0.003
2900 9 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3000 9 0.002 0. 0.002 0.003 0. 0.003 0.002 0. 0.002 0.003 0. 0.003
3100 9 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3200 9 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3300 9 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3400 9 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3500 9 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004
3600 9 0.003 0. 0.003 0.004 0. 0.004 0.003 0. 0.003 0.005 0. 0.005
3700 9 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004
3800 9 0.003 0. 0.003 0.004 0. 0.004 0.003 0. 0.003 0.004 0. 0.004
3900 9 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
4000 9 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
4100 9 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005
4200 9 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005
4300 9 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005
4400 9 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.005 0.003 0.001
4500 9 0.004 0. 0.004 0.005 0. 0.005 0.004 0. 0.004 0.005 0. 0.005
4600 9 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
4700 9 0.004 0. 0.004 0.005 0. 0.005 0.004 0. 0.004 0.005 0. 0.005
4800 9 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005
4900 9 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006
5000 9 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006
5100 9 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006
5200 9 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006
5300 9 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006
5400 9 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005 0.006 0. 0.006
5500 9 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
5600 9 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005 0.007 0. 0.007
5700 9 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006 0.006 0. 0.006
5800 9 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005 0.007 0. 0.007
5900 9 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006 0.006 0. 0.006
6000 9 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007
6100 9 0.006 0. 0.006 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007
6200 9 0.006 0. 0.006 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007
6300 9 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007
