param-n abstract-repeat-constructor-real abstract-repeat-constructor-sys abstract-repeat-constructor-user close-abstract-real close-abstract-sys close-abstract-user repeat-constructor-real repeat-constructor-sys repeat-constructor-user
1 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0. 0. 0. 0. 0. 0.
3 0. 0. 0. 0. 0. 0. 0. 0. 0.
4 0. 0. 0. 0. 0. 0. 0. 0. 0.
5 0. 0. 0. 0. 0. 0. 0. 0. 0.
6 0. 0. 0. 0. 0. 0. 0. 0. 0.
7 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
8 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
9 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
10 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
11 0.001 0. 0.001 0. 0. 0. 0.001 0. 0.001
12 0.001 0. 0.001 0. 0. 0. 0.001 0. 0.001
13 0.002 0. 0.002 0. 0. 0. 0.001 0. 0.001
14 0.002 0.002 0. 0. 0. 0. 0.001 0.001 0.
15 0.002 0.001 0.001 0. 0. 0. 0.001 0.001 0.
16 0.002 0. 0.002 0.001 0. 0. 0.001 0. 0.001
17 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
18 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
19 0.003 0. 0.003 0.001 0. 0.001 0.002 0. 0.002
20 0.055 0.003 0.051 0. 0. 0. 0.054 0.003 0.05
21 0.002 0. 0.002 0. 0. 0. 0.001 0. 0.001
22 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001
23 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001
24 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
25 0.003 0. 0.003 0.001 0. 0.001 0.002 0. 0.001
26 0.003 0. 0.003 0.001 0. 0.001 0.002 0. 0.002
27 0.003 0. 0.003 0.001 0. 0.001 0.002 0. 0.002
28 0.003 0. 0.003 0.001 0. 0.001 0.002 0. 0.002
29 0.004 0. 0.004 0.001 0. 0.001 0.002 0. 0.002
30 0.004 0. 0.004 0.001 0. 0.001 0.002 0. 0.002
31 0.004 0. 0.004 0.001 0. 0.001 0.002 0. 0.002
32 0.004 0. 0.004 0.002 0. 0.002 0.002 0. 0.002
33 0.006 0. 0.006 0.002 0. 0.002 0.004 0. 0.004
